DATE,AWND,PRCP,SNOW,SNWD,TMAX,TMIN
1/1/2013,6.93,0,0,0,40,26
1/2/2013,5.82,0,0,0,33,22
1/3/2013,4.47,0,0,0,32,24
1/4/2013,8.05,0,0,0,37,30
1/5/2013,6.71,0,0,0,42,32
1/6/2013,6.71,0,0,0,46,34
1/7/2013,5.37,0,0,0,45,37
1/8/2013,6.49,0,0,0,48,35
1/9/2013,4.03,0,0,0,49,39
1/10/2013,6.71,0,0,0,47,40
1/11/2013,4.47,0.55,0,0,46,37
1/12/2013,3.8,0.02,0,0,47,42
1/13/2013,2.68,0,0,0,50,43
1/14/2013,4.92,0.09,0,0,56,38
1/15/2013,6.93,0.12,0,0,38,35
1/16/2013,4.92,0.69,0,0,37,32
1/17/2013,5.59,0,0,0,43,35
1/18/2013,6.71,0,0,0,35,25
1/19/2013,9.84,0,0,0,51,30
1/20/2013,10.96,0,0,0,53,30
1/21/2013,5.14,0,0,0,32,26
1/22/2013,10.51,0,0,0,27,13
1/23/2013,7.83,0,0,0,20,11
1/24/2013,8.5,0,0,0,22,12
1/25/2013,6.71,0.07,1.5,0,24,13
1/26/2013,6.71,0,0,2,27,15
1/27/2013,5.82,0,0,1,34,19
1/28/2013,4.7,0.22,0,1,36,29
1/29/2013,4.47,0.06,0,0,49,36
1/30/2013,5.14,0.04,0,0,59,39
1/31/2013,12.3,0.9,0,0,61,30
2/1/2013,8.5,0,0,0,31,24
2/2/2013,6.49,0.02,0.1,0,29,19
2/3/2013,3.58,0.02,0.3,0,30,24
2/4/2013,7.38,0,0,0,30,23
2/5/2013,4.92,0.02,0.4,0,32,28
2/6/2013,4.7,0,0,0,39,29
2/7/2013,5.82,0,0,0,32,26
2/8/2013,13.65,1.15,6.3,0,34,27
2/9/2013,8.5,0.38,5.1,11,32,21
2/10/2013,3.13,0,0,10,36,18
2/11/2013,3.58,0.49,0,9,45,34
2/12/2013,8.5,0,0,4,44,36
2/13/2013,3.36,0.03,0,0,44,33
2/14/2013,4.03,0,0,0,46,33
2/15/2013,6.04,0,0,0,55,37
2/16/2013,7.16,0.02,0,0,41,31
2/17/2013,12.3,0,0,0,32,18
2/18/2013,8.28,0,0,0,35,17
2/19/2013,6.71,0.15,0,0,49,33
2/20/2013,12.08,0,0,0,38,25
2/21/2013,10.07,0,0,0,34,24
2/22/2013,7.16,0,0,0,38,25
2/23/2013,8.95,0.26,0,0,42,36
2/24/2013,7.16,0.01,0,0,47,34
2/25/2013,4.7,0,0,0,45,32
2/26/2013,7.61,0.14,0,0,44,35
2/27/2013,11.18,1.56,0,0,47,36
2/28/2013,4.47,0,0,0,51,39
3/1/2013,5.37,0,0,0,45,36
3/2/2013,7.61,0,0,0,40,31
3/3/2013,7.61,0,0,0,40,29
3/4/2013,10.29,0,0,0,42,27
3/5/2013,7.16,0,0,0,49,31
3/6/2013,15.43,0,0,0,42,38
3/7/2013,10.07,0.19,0,0,38,33
3/8/2013,7.61,0.54,4,2,42,31
3/9/2013,6.04,0,0,2,55,35
3/10/2013,4.7,0,0,0,50,36
3/11/2013,6.49,0,0,0,54,40
3/12/2013,8.05,0.79,0,0,57,43
3/13/2013,6.26,0,0,0,52,38
3/14/2013,11.41,0,0,0,41,29
3/15/2013,7.83,0,0,0,47,30
3/16/2013,3.8,0.12,0.3,0,41,32
3/17/2013,6.04,0,0,0,38,29
3/18/2013,9.62,0.65,3,0,35,28
3/19/2013,9.62,0.36,0,2,43,33
3/20/2013,7.61,0,0,0,45,32
3/21/2013,6.49,0,0,0,40,30
3/22/2013,8.95,0,0,0,41,28
3/23/2013,9.62,0,0,0,46,32
3/24/2013,5.14,0,0,0,47,33
3/25/2013,8.95,0.17,0,0,40,36
3/26/2013,4.7,0,0,0,53,37
3/27/2013,5.59,0,0,0,53,36
3/28/2013,5.82,0,0,0,51,37
3/29/2013,5.59,0,0,0,55,40
3/30/2013,4.25,0,0,0,59,40
3/31/2013,6.26,0.08,0,0,54,44
4/1/2013,6.49,0,0,0,62,37
4/2/2013,9.62,0,0,0,43,33
4/3/2013,10.74,0,0,0,46,33
4/4/2013,5.82,0,0,0,53,33
4/5/2013,5.59,0,0,0,64,41
4/6/2013,6.04,0,0,0,52,35
4/7/2013,7.16,0,0,0,55,40
4/8/2013,4.25,0,0,0,73,51
4/9/2013,4.92,0,0,0,82,51
4/10/2013,4.92,0.49,0,0,74,55
4/11/2013,6.26,0,0,0,60,47
4/12/2013,11.18,0.63,0,0,47,41
4/13/2013,2.91,0.01,0,0,58,41
4/14/2013,5.82,0,0,0,57,46
4/15/2013,5.82,0,0,0,59,44
4/16/2013,6.49,0,0,0,63,47
4/17/2013,5.37,0.02,0,0,71,55
4/18/2013,6.04,0.01,0,0,59,51
4/19/2013,7.16,0.05,0,0,71,55
4/20/2013,8.5,0.06,0,0,60,43
4/21/2013,4.92,0,0,0,55,37
4/22/2013,9.62,0,0,0,55,41
4/23/2013,8.72,0,0,0,53,41
4/24/2013,4.92,0,0,0,69,44
4/25/2013,5.37,0,0,0,66,46
4/26/2013,3.36,0,0,0,67,50
4/27/2013,4.7,0,0,0,71,48
4/28/2013,4.47,0,0,0,69,51
4/29/2013,5.14,0.04,0,0,57,52
4/30/2013,5.37,0,0,0,68,51
5/1/2013,4.7,0,0,0,69,47
5/2/2013,3.58,0,0,0,72,49
5/3/2013,6.49,0,0,0,66,49
5/4/2013,5.82,0,0,0,69,48
5/5/2013,5.59,0,0,0,64,46
5/6/2013,3.58,0,0,0,69,46
5/7/2013,5.82,0,0,0,74,52
5/8/2013,5.59,3.02,0,0,63,55
5/9/2013,3.58,0.5,0,0,68,54
5/10/2013,3.8,0.01,0,0,79,59
5/11/2013,3.13,1.09,0,0,70,61
5/12/2013,7.83,0,0,0,70,51
5/13/2013,7.16,0,0,0,58,45
5/14/2013,4.47,0,0,0,61,42
5/15/2013,10.07,0,0,0,69,52
5/16/2013,3.58,0,0,0,79,62
5/17/2013,3.58,0,0,0,72,58
5/18/2013,2.01,0.01,0,0,65,56
5/19/2013,4.7,0.6,0,0,59,55
5/20/2013,1.57,0,0,0,79,58
5/21/2013,5.37,0,0,0,86,68
5/22/2013,3.36,0,0,0,78,59
5/23/2013,5.37,1.81,0,0,80,64
5/24/2013,5.37,0.3,0,0,65,45
5/25/2013,9.17,0.14,0,0,54,45
5/26/2013,8.5,0,0,0,66,48
5/27/2013,3.8,0,0,0,73,51
5/28/2013,2.68,0.52,0,0,68,56
5/29/2013,1.57,0,0,0,82,58
5/30/2013,5.14,0,0,0,90,72
5/31/2013,4.03,0,0,0,90,75
6/1/2013,3.8,0,0,0,90,73
6/2/2013,6.04,0.85,0,0,88,69
6/3/2013,3.36,0.87,0,0,78,66
6/4/2013,4.92,0,0,0,75,57
6/5/2013,3.8,0,0,0,74,58
6/6/2013,5.14,0.13,0,0,70,59
6/7/2013,8.5,4.16,0,0,63,59
6/8/2013,3.8,0.48,0,0,77,57
6/9/2013,2.24,0,0,0,80,63
6/10/2013,5.82,1.38,0,0,70,62
6/11/2013,6.49,0.09,0,0,80,64
6/12/2013,5.37,0,0,0,76,65
6/13/2013,6.71,1.26,0,0,69,55
6/14/2013,5.14,0.38,0,0,72,53
6/15/2013,3.8,0,0,0,80,61
6/16/2013,3.8,0,0,0,80,65
6/17/2013,2.68,0.01,0,0,84,69
6/18/2013,3.58,0.2,0,0,84,64
6/19/2013,5.14,0,0,0,77,59
6/20/2013,3.8,0,0,0,80,62
6/21/2013,4.92,0,0,0,82,64
6/22/2013,4.03,0,0,0,84,65
6/23/2013,4.7,0,0,0,88,70
6/24/2013,4.25,0,0,0,92,74
6/25/2013,3.36,0,0,0,91,73
6/26/2013,3.8,0.05,0,0,85,74
6/27/2013,4.03,0.24,0,0,86,73
6/28/2013,5.14,0,0,0,85,73
6/29/2013,3.8,0,0,0,83,71
6/30/2013,3.13,0,0,0,86,73
7/1/2013,3.13,0.84,0,0,77,72
7/2/2013,2.68,0.08,0,0,82,72
7/3/2013,4.25,0.53,0,0,83,73
7/4/2013,4.25,0,0,0,87,75
7/5/2013,4.92,0,0,0,90,76
7/6/2013,4.47,0,0,0,92,78
7/7/2013,4.25,0,0,0,92,78
7/8/2013,4.7,0.22,0,0,89,73
7/9/2013,3.13,0.23,0,0,88,74
7/10/2013,4.25,0,0,0,85,75
7/11/2013,3.8,0,0,0,84,76
7/12/2013,9.62,0.25,0,0,77,68
7/13/2013,5.37,0.06,0,0,81,67
7/14/2013,4.03,0,0,0,90,74
7/15/2013,3.58,0,0,0,94,78
